Id,Id2,Geography,Total,Occupied,Vacant
1000000US210670002002011,210670002002011,"Block 2011, Block Group 2, Census Tract 2, Fayette County, Kentucky",26,21,5
1000000US210670002003000,210670002003000,"Block 3000, Block Group 3, Census Tract 2, Fayette County, Kentucky",51,38,13
1000000US210670002003001,210670002003001,"Block 3001, Block Group 3, Census Tract 2, Fayette County, Kentucky",17,15,2
1000000US210670002003002,210670002003002,"Block 3002, Block Group 3, Census Tract 2, Fayette County, Kentucky",79,68,11
1000000US210670002003003,210670002003003,"Block 3003, Block Group 3, Census Tract 2, Fayette County, Kentucky",30,27,3
1000000US210670002003004,210670002003004,"Block 3004, Block Group 3, Census Tract 2, Fayette County, Kentucky",42,38,4
1000000US210670002003005,210670002003005,"Block 3005, Block Group 3, Census Tract 2, Fayette County, Kentucky",12,10,2
1000000US210670002003006,210670002003006,"Block 3006, Block Group 3, Census Tract 2, Fayette County, Kentucky",27,22,5
1000000US210670002003007,210670002003007,"Block 3007, Block Group 3, Census Tract 2, Fayette County, Kentucky",1,1,0
1000000US210670002003008,210670002003008,"Block 3008, Block Group 3, Census Tract 2, Fayette County, Kentucky",59,49,10
1000000US210670002003009,210670002003009,"Block 3009, Block Group 3, Census Tract 2, Fayette County, Kentucky",36,31,5
1000000US210670002003010,210670002003010,"Block 3010, Block Group 3, Census Tract 2, Fayette County, Kentucky",32,23,9
1000000US210670002003011,210670002003011,"Block 3011, Block Group 3, Census Tract 2, Fayette County, Kentucky",28,23,5
1000000US210670002003012,210670002003012,"Block 3012, Block Group 3, Census Tract 2, Fayette County, Kentucky",6,6,0
1000000US210670002003013,210670002003013,"Block 3013, Block Group 3, Census Tract 2, Fayette County, Kentucky",17,16,1
1000000US210670002003014,210670002003014,"Block 3014, Block Group 3, Census Tract 2, Fayette County, Kentucky",0,0,0
1000000US210670002004000,210670002004000,"Block 4000, Block Group 4, Census Tract 2, Fayette County, Kentucky",16,14,2
1000000US210670002004001,210670002004001,"Block 4001, Block Group 4, Census Tract 2, Fayette County, Kentucky",45,42,3
1000000US210670002004002,210670002004002,"Block 4002, Block Group 4, Census Tract 2, Fayette County, Kentucky",38,30,8
1000000US210670002004003,210670002004003,"Block 4003, Block Group 4, Census Tract 2, Fayette County, Kentucky",41,31,10
1000000US210670002004004,210670002004004,"Block 4004, Block Group 4, Census Tract 2, Fayette County, Kentucky",95,83,12
1000000US210670002004005,210670002004005,"Block 4005, Block Group 4, Census Tract 2, Fayette County, Kentucky",19,19,0
1000000US210670002004006,210670002004006,"Block 4006, Block Group 4, Census Tract 2, Fayette County, Kentucky",0,0,0
1000000US210670002004007,210670002004007,"Block 4007, Block Group 4, Census Tract 2, Fayette County, Kentucky",10,9,1
1000000US210670002004008,210670002004008,"Block 4008, Block Group 4, Census Tract 2, Fayette County, Kentucky",4,3,1
1000000US210670002004009,210670002004009,"Block 4009, Block Group 4, Census Tract 2, Fayette County, Kentucky",14,13,1
1000000US210670002004010,210670002004010,"Block 4010, Block Group 4, Census Tract 2, Fayette County, Kentucky",66,54,12
1000000US210670002004011,210670002004011,"Block 4011, Block Group 4, Census Tract 2, Fayette County, Kentucky",0,0,0
1000000US210670002004012,210670002004012,"Block 4012, Block Group 4, Census Tract 2, Fayette County, Kentucky",15,12,3
1000000US210670002004013,210670002004013,"Block 4013, Block Group 4, Census Tract 2, Fayette County, Kentucky",4,4,0
1000000US210670002004014,210670002004014,"Block 4014, Block Group 4, Census Tract 2, Fayette County, Kentucky",55,39,16
1000000US210670002004015,210670002004015,"Block 4015, Block Group 4, Census Tract 2, Fayette County, Kentucky",41,33,8
1000000US210670002004016,210670002004016,"Block 4016, Block Group 4, Census Tract 2, Fayette County, Kentucky",9,8,1
1000000US210670002004017,210670002004017,"Block 4017, Block Group 4, Census Tract 2, Fayette County, Kentucky",0,0,0
1000000US210670002004018,210670002004018,"Block 4018, Block Group 4, Census Tract 2, Fayette County, Kentucky",0,0,0
1000000US210670002004019,210670002004019,"Block 4019, Block Group 4, Census Tract 2, Fayette County, Kentucky",0,0,0
1000000US210670002004020,210670002004020,"Block 4020, Block Group 4, Census Tract 2, Fayette County, Kentucky",0,0,0
